Identificador del vendedor,Línea,Gravedad,Resumen del problema,Descripción del problema,Nombre de la propiedad,Valor en la lista,Nombre de la lista,Hora de inicio de la subida
7797453972505,320,fatal,No puede haber identificadores duplicados,"""Products"" debe tener un identificador para poder publicarse en anuncios. Agrega el identificador único de cada producto en tu archivo de lista de datos y vuelve a subirlo. Si quieres agregar variantes de un producto, puedes agruparlas indicando el mismo identificador en la columna ""item_group_ID"".",id,7797453972505,,2021-08-08 10:43:02
7797453972505,323,fatal,No puede haber identificadores duplicados,"""Products"" debe tener un identificador para poder publicarse en anuncios. Agrega el identificador único de cada producto en tu archivo de lista de datos y vuelve a subirlo. Si quieres agregar variantes de un producto, puedes agruparlas indicando el mismo identificador en la columna ""item_group_ID"".",id,7797453972505,,2021-08-08 10:43:02
60c40ad1dd920726797185c1,29,warning,Falta información en estos campos,Proporciona información de google_product_category para aumentar la visibilidad de los artículos.,google_product_category,,,2021-08-08 10:43:02
60bcd148d130533ca2c3b715,77,warning,Falta información en estos campos,Proporciona información de google_product_category para aumentar la visibilidad de los artículos.,google_product_category,,,2021-08-08 10:43:02
60c7e63da0f9e335316bfe71,7,warning,Falta información en estos campos,Proporciona información de google_product_category para aumentar la visibilidad de los artículos.,google_product_category,,,2021-08-08 10:43:02
5fac22997c272b06f0549a3f,85,warning,Falta información en estos campos,Proporciona información de google_product_category para aumentar la visibilidad de los artículos.,google_product_category,,,2021-08-08 10:43:02
5fe202e8bab06d6b24059993,20,warning,Falta información en estos campos,Proporciona información de google_product_category para aumentar la visibilidad de los artículos.,google_product_category,,,2021-08-08 10:43:02
60c7e63da0f9e335316bfe71,7,warning,Falta información en estos campos,Proporciona información de google_product_category para aumentar la visibilidad de los artículos.,google_product_category,,,2021-08-08 10:43:02
60bcd148d130533ca2c3b715,77,warning,Falta información en estos campos,Proporciona información de google_product_category para aumentar la visibilidad de los artículos.,google_product_category,,,2021-08-08 10:43:02
5fe202e8bab06d6b24059993,20,warning,Falta información en estos campos,Proporciona información de google_product_category para aumentar la visibilidad de los artículos.,google_product_category,,,2021-08-08 10:43:02
5fac22997c272b06f0549a3f,85,warning,Falta información en estos campos,Proporciona información de google_product_category para aumentar la visibilidad de los artículos.,google_product_category,,,2021-08-08 10:43:02
60c40ad1dd920726797185c1,29,warning,Falta información en estos campos,Proporciona información de google_product_category para aumentar la visibilidad de los artículos.,google_product_category,,,2021-08-08 10:43:02
60bcde9cd130533ca2c3b72e,152,fatal,Falta un campo obligatorio,"""Products"" debe tener un precio para poder publicarse en anuncios. Incluye un precio para cada product en tu archivo de lista de datos y vuelve a subirlo. Los precios deben incluir el costo y el código de divisa ISO (por ejemplo, en el caso de dólares americanos, 10 USD en lugar de $10).",price,,,2021-08-08 10:43:02
60e8d2d71176de734c7e1a27,462,fatal,Falta un campo obligatorio,"""Products"" debe tener un precio para poder publicarse en anuncios. Incluye un precio para cada product en tu archivo de lista de datos y vuelve a subirlo. Los precios deben incluir el costo y el código de divisa ISO (por ejemplo, en el caso de dólares americanos, 10 USD en lugar de $10).",price,,,2021-08-08 10:43:02
60c7e63da0f9e335316bfe71,7,fatal,Falta un campo obligatorio,"""Products"" debe tener un precio para poder publicarse en anuncios. Incluye un precio para cada product en tu archivo de lista de datos y vuelve a subirlo. Los precios deben incluir el costo y el código de divisa ISO (por ejemplo, en el caso de dólares americanos, 10 USD en lugar de $10).",price,,,2021-08-08 10:43:02
60e8d1401176de734c7e1a22,454,fatal,Falta un campo obligatorio,"""Products"" debe tener un precio para poder publicarse en anuncios. Incluye un precio para cada product en tu archivo de lista de datos y vuelve a subirlo. Los precios deben incluir el costo y el código de divisa ISO (por ejemplo, en el caso de dólares americanos, 10 USD en lugar de $10).",price,,,2021-08-08 10:43:02
60c40ad1dd920726797185c1,29,fatal,Falta un campo obligatorio,"""Products"" debe tener un precio para poder publicarse en anuncios. Incluye un precio para cada product en tu archivo de lista de datos y vuelve a subirlo. Los precios deben incluir el costo y el código de divisa ISO (por ejemplo, en el caso de dólares americanos, 10 USD en lugar de $10).",price,,,2021-08-08 10:43:02
6086ff3094ab1a002724e518,226,warning,El valor debe ser positivo,El campo price debe tener un valor positivo.,price,0 ARS,,2021-08-08 10:43:02
5f86694db611bd2d1d797c66,36,warning,Agrega una categoría de productos de Facebook válida en estos campos,Revisa la información de categoría de productos de Facebook para asegurarte de que los artículos estén correctamente clasificados.,fb_product_category,Productos para mascotas  > Productos para perros,,2021-08-08 10:43:02
5fe202e8bab06d6b24059993,20,warning,Agrega una categoría de productos de Facebook válida en estos campos,Revisa la información de categoría de productos de Facebook para asegurarte de que los artículos estén correctamente clasificados.,fb_product_category,Productos para mascotas  > Productos para perros,,2021-08-08 10:43:02
7798296850012,39,warning,Agrega una categoría de productos de Facebook válida en estos campos,Revisa la información de categoría de productos de Facebook para asegurarte de que los artículos estén correctamente clasificados.,fb_product_category,Productos para mascotas  > Productos para perros,,2021-08-08 10:43:02
5f866883b611bd2d1d797c65,35,warning,Agrega una categoría de productos de Facebook válida en estos campos,Revisa la información de categoría de productos de Facebook para asegurarte de que los artículos estén correctamente clasificados.,fb_product_category,Productos para mascotas  > Productos para perros,,2021-08-08 10:43:02
7798296850210,44,warning,Agrega una categoría de productos de Facebook válida en estos campos,Revisa la información de categoría de productos de Facebook para asegurarte de que los artículos estén correctamente clasificados.,fb_product_category,Productos para mascotas  > Productos para perros,,2021-08-08 10:43:02
