id,title,description,availability,condition,price,link,image_link,brand,fb_product_category,google_product_category,item_group_id,visibility
5fe4a50e24f1933f869daa5c,7 Vidas Gato Adulto Carne y Pollo Bolsa 10 Kg,probando la descripción otra linea,in stock,new,2850 ARS,http://firulais.net.ar/producto/5fe4a50e24f1933f869daa5c,http://firulais.net.ar/assets/images/alican/7vidas/7vidas-carneweb-150x150.png,7 Vidas,104,Animals & Pet Supplies > Pet Supplies > Cat Supplies,7 Vidas Gato Adulto Carne y Pollo,published
606603599647b70026573b41,7 Vidas Gato Adulto Carne y Pollo Paqute 1 Kg,probando la descripción otra linea,in stock,new,380 ARS,http://firulais.net.ar/producto/606603599647b70026573b41,http://firulais.net.ar/assets/images/alican/7vidas/7vidas-carneweb.png,7 Vidas,104,Animals & Pet Supplies > Pet Supplies > Cat Supplies,7 Vidas Gato Adulto Carne y Pollo,published
5fe4a31824f1933f869daa55,7 Vidas Gato Adulto Salmon Bolsa 10 Kg,probando la descripción otra linea,in stock,new,2850 ARS,http://firulais.net.ar/producto/5fe4a31824f1933f869daa55,http://firulais.net.ar/assets/images/alican/7vidas/7vidas-salmonweb-150x150.png,7 Vidas,104,Animals & Pet Supplies > Pet Supplies > Cat Supplies,7 Vidas Gato Adulto Salmon,published
606603ad9647b70026573b43,7 Vidas Gato Adulto Salmon Paquete 1 Kg,probando la descripción otra linea,in stock,new,380 ARS,http://firulais.net.ar/producto/606603ad9647b70026573b43,http://firulais.net.ar/assets/images/alican/7vidas/7vidas-salmonweb.png,7 Vidas,104,Animals & Pet Supplies > Pet Supplies > Cat Supplies,7 Vidas Gato Adulto Salmon,published
5fe2061bbab06d6b240599a5,Agility Adulto Cat Bolsa 10 Kg,probando la descripción otra linea,in stock,new,3540 ARS,http://firulais.net.ar/producto/5fe2061bbab06d6b240599a5,http://firulais.net.ar/assets/images/alican/agility/Agility_Cat_Adultos_1000x1000.png,Agility,104,Animals & Pet Supplies > Pet Supplies > Cat Supplies,Agility Adulto Cat,published
60c7e63da0f9e335316bfe71,Agility Adulto Cat Pqte 1.5 Kg,probando la descripción otra linea,in stock,new,700 ARS,http://firulais.net.ar/producto/60c7e63da0f9e335316bfe71,http://firulais.net.ar/assets/images/alican/agility/Agility_Cat_Adultos_1000x1000.png,Agility,104,Animals & Pet Supplies > Pet Supplies > Cat Supplies,Agility Adulto Cat,published
5fe20914bab06d6b240599b5,Agility Adulto Cat Urinary Bolsa 10 Kg,probando la descripción otra linea,in stock,new,3860 ARS,http://firulais.net.ar/producto/5fe20914bab06d6b240599b5,http://firulais.net.ar/assets/images/alican/agility/Agility_Cat_Urinary_1000x1000.png,Agility,104,Animals & Pet Supplies > Pet Supplies > Cat Supplies,Agility Adulto Cat Urinary,published
606605b09647b70026573b45,Agility Adulto Cat Urinary Pqte 1.5 Kg,probando la descripción otra linea,in stock,new,760 ARS,http://firulais.net.ar/producto/606605b09647b70026573b45,http://firulais.net.ar/assets/images/alican/agility/Agility_Cat_Urinary_1000x1000.png,Agility,104,Animals & Pet Supplies > Pet Supplies > Cat Supplies,Agility Adulto Cat Urinary,published
60c7de11a0f9e335316bfe6e,Agility Adulto Derma Contol Bolsa 15 Kg,probando la descripción otra linea,in stock,new,3660 ARS,http://firulais.net.ar/producto/60c7de11a0f9e335316bfe6e,http://firulais.net.ar/assets/images/alican/agility/Agility-Derma-265x300.png,Agility,105,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Agility Adulto Derma Contol,published
60c7de81a0f9e335316bfe70,Agility Adulto Derma Contol Pqte 3 Kg,probando la descripción otra linea,in stock,new,880 ARS,http://firulais.net.ar/producto/60c7de81a0f9e335316bfe70,http://firulais.net.ar/assets/images/alican/agility/Agility-Derma-265x300.png,Agility,105,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Agility Adulto Derma Contol,published
5fe2074dbab06d6b240599ad,Agility Cat Kitten Bolsa 10 Kg,probando la descripción otra linea,in stock,new,3860 ARS,http://firulais.net.ar/producto/5fe2074dbab06d6b240599ad,http://firulais.net.ar/assets/images/alican/agility/Agility_Cat_kitten_1000x1000.png,Agility,104,Animals & Pet Supplies > Pet Supplies > Cat Supplies,Agility Cat Kitten,published
60c7ea87a0f9e335316bfe72,Agility Cat Kitten Pqte 1.5 Kg,probando la descripción otra linea,in stock,new,760 ARS,http://firulais.net.ar/producto/60c7ea87a0f9e335316bfe72,http://firulais.net.ar/assets/images/alican/agility/Agility_Cat_kitten_1000x1000.png,Agility,104,Animals & Pet Supplies > Pet Supplies > Cat Supplies,Agility Cat Kitten,published
60be5335dab052cdcc1e34ff,Agility Perro Adulto Bolsa 15 Kg,probando la descripción otra linea,in stock,new,2990 ARS,http://firulais.net.ar/producto/60be5335dab052cdcc1e34ff,http://firulais.net.ar/assets/images/alican/agility/Agility-AduMed-768x868.png,Agility,105,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Agility Perro Adulto,published
5fe1fd32bab06d6b24059989,Agility Perro Adulto Bolsa 20 Kg,probando la descripción otra linea,in stock,new,3780 ARS,http://firulais.net.ar/producto/5fe1fd32bab06d6b24059989,http://firulais.net.ar/assets/images/alican/agility/Agility-AduMed-768x868.png,Agility,105,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Agility Perro Adulto,published
5fe2048ebab06d6b2405999d,Agility Perro Adulto Mordida Pequeña Bolsa 15 Kg,probando la descripción otra linea,in stock,new,3430 ARS,http://firulais.net.ar/producto/5fe2048ebab06d6b2405999d,http://firulais.net.ar/assets/images/alican/agility/Agility-AduPeq.png,Agility,105,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Agility Perro Adulto Mordida Pequeña,published
60be5401dab052cdcc1e3501,Agility Perro Adulto Mordida Pequeña Pqte 3 Kg,probando la descripción otra linea,in stock,new,860 ARS,http://firulais.net.ar/producto/60be5401dab052cdcc1e3501,http://firulais.net.ar/assets/images/alican/agility/Agility-AduPeq.png,Agility,105,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Agility Perro Adulto Mordida Pequeña,published
60be53b2dab052cdcc1e3500,Agility Perro Adulto Pqte 3 Kg,probando la descripción otra linea,in stock,new,750 ARS,http://firulais.net.ar/producto/60be53b2dab052cdcc1e3500,http://firulais.net.ar/assets/images/alican/agility/Agility-AduMed-768x868.png,Agility,105,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Agility Perro Adulto,published
60be551cdab052cdcc1e3502,Agility Perro Cachorros Bolsa 15 Kg,probando la descripción otra linea,in stock,new,3430 ARS,http://firulais.net.ar/producto/60be551cdab052cdcc1e3502,http://firulais.net.ar/assets/images/alican/agility/Agility-Cach.png,Agility,105,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Agility Perro Cachorros,published
5fe202e8bab06d6b24059993,Agility Perro Cachorros Bolsa 20 Kg,probando la descripción otra linea,in stock,new,4360 ARS,http://firulais.net.ar/producto/5fe202e8bab06d6b24059993,http://firulais.net.ar/assets/images/alican/agility/Agility-Cach.png,Agility,105,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Agility Perro Cachorros,published
60be5562dab052cdcc1e3503,Agility Perro Cachorros Pqte 3 Kg,probando la descripción otra linea,in stock,new,860 ARS,http://firulais.net.ar/producto/60be5562dab052cdcc1e3503,http://firulais.net.ar/assets/images/alican/agility/Agility-Cach.png,Agility,105,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Agility Perro Cachorros,published
5f2ef4d78fa2e3381c64f2b0,Alpiste Semillas Bolsa 30 Kg,probando la descripción otra linea,in stock,new,5170 ARS,http://firulais.net.ar/producto/5f2ef4d78fa2e3381c64f2b0,http://firulais.net.ar/assets/images/alpiste_.jpg,firulais,100,Animals & Pet Supplies > Pet Supplies > Bird Supplies,Alpiste Semillas,published
5f2ef5338fa2e3381c64f2b6,Arrocin Bolsa 30 Kg,probando la descripción otra linea,in stock,new,1600 ARS,http://firulais.net.ar/producto/5f2ef5338fa2e3381c64f2b6,http://firulais.net.ar/assets/images/arrocin1.webp,firulais,106,Animals & Pet Supplies > Pet Supplies,Arrocin,published
