cod	ean	Descripcion			Blt			 Descuento 	Precio-Des+Renta					
6940	7791416001301	ALIMENTO RAZA GATOS PESCADO	x500gs	0,5	18	68,31	82,65	 1,000 	 85,543 			 171,086 	1,23	 210,435 
6941	7791416001318	ALIMENTO RAZA GATOS PESCADO	x1kg	1	16	125,16	151,44	 1,000 	 156,740 			 156,740 	1,23	 192,791 
6942	7791416066836	ALIMENTO RAZA GATOS PESCADO	x3kg	3	6	362,59	438,73	 1,000 	 454,086 			 151,362 	1,23	 186,175 
6943	7791416001325	ALIMENTO RAZA GATOS PESCADO	x10kg	10	1	1.044,71	1.264,10	 0,940 	 1.229,843 			 122,984 	1,37	 168,488 
6944	7791416066843	ALIMENTO RAZA GATOS PESCADO	x15Kg	15	1	1.490,31	1.803,27	 0,940 	 1.754,401 			 116,960 	1,5	 175,440 
8164	7791416960103	ALIMENTO RAZA GATOS PESCADO Con Omega 3 y 6	x3kg	3	6	392,42	474,83	 1,000 	 491,449 			 163,816 		 -    
8137	7791416960097	ALIMENTO RAZA GATOS PESCADO Con Omega 3 y 6	x10kg	10	1	1.159,71	1.403,25	 0,940 	 1.365,222 			 136,522 		 -    
6945	7791416065983	ALIMENTO RAZA GATOS CARNE PESCADO ARROZ	x500gs	0,5	18	68,31	82,65	 1,000 	 85,543 			 171,086 		 -    
6946	7791416065990	ALIMENTO RAZA GATOS CARNE PESCADO ARROZ	x1kg	1	16	125,16	151,44	 1,000 	 156,740 			 156,740 		 -    
6947	7791416066072	ALIMENTO RAZA GATOS CARNE PESCADO ARROZ	x10kg	10	1	1.044,71	1.264,10	 0,940 	 1.229,843 			 122,984 		 -    
6948	7791416066089	ALIMENTO RAZA GATO LECHE	x500gs	0,5	18	68,31	82,65	 1,000 	 85,543 			 171,086 		 -    
6949	7791416066096	ALIMENTO RAZA GATO LECHE	x1kg	1	16	125,16	151,44	 1,000 	 156,740 			 156,740 		 -    
6950	7791416066119	ALIMENTO RAZA GATO LECHE	x10kg	10	1	1.044,71	1.264,10	 0,940 	 1.229,843 			 122,984 		 -    
6951	7791416072530	ALIMENTO RAZA GATO CACH CARNE LECHE	x500gs	0,5	18	76,63	92,73	 1,000 	 95,976 			 191,951 		 -    
