PRODUCTO;CODIGO;PESO UNITARIO (KGS);UNIDADES POR BULTO;PRECIO LISTA (POR BULTO SIN IVA);PRECIO LISTA (POR UNIDAD SIN IVA);PRECIO LISTA (POR BULTO CON IVA);PRECIO LISTA (POR UNIDAD CON IVA);PRECIO SUGERIDO A PUBLICO POR UNIDAD
PRO PLAN CACHORRO RAZA PEQUEÑA;12452753;1;6; 2.885,24 ; 480,87 ; 3.491,14 ; 581,86 ; 756,41 
PRO PLAN CACHORRO RAZA PEQUEÑA;12453113;3;6; 7.839,17 ; 1.306,53 ; 9.485,39 ; 1.580,90 ; 2.055,17 
PRO PLAN CACHORRO RAZA PEQUEÑA;12453105;7,5;1; 2.760,79 ; 2.760,79 ; 3.340,56 ; 3.340,56 ; 4.342,73 
PRO PLAN CACHORRO RAZA MEDIANA;12452907;1;6; 2.885,24 ; 480,87 ; 3.491,14 ; 581,86 ; 756,41 
PRO PLAN CACHORRO RAZA MEDIANA;12452915;3;6; 7.839,17 ; 1.306,53 ; 9.485,39 ; 1.580,90 ; 2.055,17 
PRO PLAN CACHORRO RAZA MEDIANA;12453302;7,5;1; 2.760,79 ; 2.760,79 ; 3.340,56 ; 3.340,56 ; 4.342,73 
PRO PLAN CACHORRO RAZA MEDIANA;12453288;15;1; 4.585,40 ; 4.585,40 ; 5.548,34 ; 5.548,34 ; 7.101,88 
PRO PLAN CACHORRO RAZA GRANDE;12452937;3;6; 7.839,17 ; 1.306,53 ; 9.485,39 ; 1.580,90 ; 2.055,17 
PRO PLAN CACHORRO RAZA GRANDE;12453294;15;1; 4.585,40 ; 4.585,40 ; 5.548,34 ; 5.548,34 ; 7.101,88 
PRO PLAN ADULT DOG RAZA PEQUEÑA;12452908;1;6; 2.617,14 ; 436,19 ; 3.166,73 ; 527,79 ; 686,13 
PRO PLAN ADULT DOG RAZA PEQUEÑA;12452939;3;6; 7.116,33 ; 1.186,06 ; 8.610,76 ; 1.435,13 ; 1.865,66 
PRO PLAN ADULT DOG RAZA PEQUEÑA;12453303;7,5;1; 2.522,27 ; 2.522,27 ; 3.051,95 ; 3.051,95 ; 3.967,54 
PRO PLAN ADULT DOG RAZA MEDIANA;12453130;1;6; 2.617,14 ; 436,19 ; 3.166,73 ; 527,79 ; 686,13 
PRO PLAN ADULT DOG RAZA MEDIANA;12453122;3;6; 7.116,33 ; 1.186,06 ; 8.610,76 ; 1.435,13 ; 1.865,66 
PRO PLAN ADULT DOG RAZA MEDIANA;12453296;15;1; 4.170,81 ; 4.170,81 ; 5.046,68 ; 5.046,68 ; 6.459,75 
PRO PLAN ADULT DOG RAZA GRANDE;12453102;3;6; 7.116,33 ; 1.186,06 ; 8.610,76 ; 1.435,13 ; 1.865,66 
PRO PLAN ADULT DOG RAZA GRANDE;12453311;15;1; 4.170,81 ; 4.170,81 ; 5.046,68 ; 5.046,68 ; 6.459,75 
PRO PLAN ACTIVE MIND RAZAS PEQUEÑAS(+ de 7 años de edad);12453101;1;6; 2.891,20 ; 481,87 ; 3.498,35 ; 583,06 ; 757,98 
